sim,storage,transport_cost,coating_cost,decoating_time,peelcoating_time,A,B,C,winner
30,4.702568691606315,116.64417406188102,16.24289153333464,17.595410957193728,21.09286256334991,28.129682347029096,34.31458370199362,36.956606994018514,A
31,4.781812862351639,101.92775685855669,15.835247641038816,15.341840577208197,19.510288803790147,25.572252920665562,31.02727672826977,33.946813766686944,A
32,3.74043243840112,61.89225711366106,11.954506548008041,10.016424842271443,22.272085202882266,23.863173363435806,27.23831865199894,23.461064014966972,C
33,6.571143696559577,60.28725306772865,14.050239357972455,8.90757247930783,15.31985950987044,18.48912132611885,21.996319756747248,24.83872217575197,A
34,3.896052446985518,34.6911488871719,8.478359307532795,19.070067249983676,14.283536496741105,24.573235831149855,26.599997209032363,23.988376263075747,C
35,3.558626851064942,107.61774036782373,14.832078163854515,8.05950261910149,22.037994728020877,22.402498231414913,28.05028226363597,28.454341780062204,A
36,1.3786119524266285,94.85393472939478,10.790110410150918,9.295742632230311,24.21146719177131,24.675639882667745,29.521732515569482,24.170247867297064,C
37,5.224780926520285,85.22268515365504,14.003991263315662,11.864341186662386,13.896658448606747,19.51149975684609,24.164492584017864,28.56649248727406,A
38,6.218339258949674,68.35067477365217,12.487794905898198,11.218264919360816,12.136649157586255,17.907442717964717,21.791351901068552,25.403855756443473,A
39,7.596013341683159,100.19054231453372,13.937834502960051,13.098050136334573,19.84750205942835,24.30120146384195,29.880429580194868,30.563959267857285,A
40,5.450288834616864,96.22549977433914,10.694282569566118,15.665744466859676,16.087356434180133,23.50623393402654,28.726280585339765,28.627539138945515,A
41,7.641558235483003,70.6020766347966,7.23141355372195,9.590307101267898,21.364096870851423,22.973769314746214,27.076990014147267,19.302185280617778,C
42,2.1813881846568104,34.33224946177841,10.835556674727645,16.358803395066737,28.535755529162497,32.267205949486154,34.14742253642434,24.425413723638357,C
43,-0.8383498381262902,56.62656549796222,6.398277205152425,11.17931364519666,18.11304542756551,21.865739381841443,24.634191418880086,18.056227889057716,C
44,1.8844017755438678,21.13962002378063,10.309630355985039,13.120693400557709,15.348671170436305,21.317076380662677,22.515387515017498,20.73645088025092,C
45,4.826049706210322,77.88918718314338,14.601141306795542,12.571058239566181,21.700798088461383,25.185404218685044,29.441817305807984,29.06483832388593,A
46,4.665509227992006,104.5160452769113,15.98916953414017,13.565052012280589,18.252086938337584,23.54892596707878,29.124641423023746,33.104516399495175,A
47,5.613028652278065,67.90640075527618,7.248572250801027,16.801608428893438,19.41468623114978,26.481696440028813,30.297993626713478,23.823276025989603,C
48,4.3266216375050375,97.91408246011747,14.619685913963501,11.848833816840688,17.246432922950223,21.734344493193944,26.954545239012695,30.078795724908023,A
49,7.404467810662279,65.64613903649072,11.370236939830974,14.942340991829898,16.98137510891198,23.619977400494584,27.457619438118794,26.625481419320824,A
50,2.9251262076092206,61.60055564010291,7.722845277517292,15.040102997066093,26.48328730594332,30.019760202006275,33.31917244958211,22.515878592282867,C
51,3.78708506665947,91.48505120303012,9.837965943679805,8.477698837623556,20.46884043076511,21.635192845592442,26.49347678574341,22.54049826232241,A
52,5.277873927014614,68.04640322718143,8.635793102627538,10.164816022968026,21.62672285772555,23.531859253795716,27.330019959680886,20.779711056328892,C
53,3.624209951337175,43.25468240437579,8.737061743653094,14.370554945714812,26.760021406469455,29.75788423478951,32.192434101358586,21.74274338535801,C
54,3.6826509027129593,122.48728650493634,14.73980351865805,11.096044160580727,25.08659018279387,26.4592562289164,32.859819371866685,31.50784532538441,A
55,2.4506708794548357,119.61697606308154,9.968989212215392,15.829548656557272,23.474771623326976,28.540380186589502,34.70502930570269,29.6158283986241,A
56,7.007965424479362,74.43269638858287,15.788009764066256,9.89531409596143,24.836509280394083,25.49204891757034,29.739281143835438,28.317736328408227,A
57,7.6639430613306025,86.35909097799532,9.39608071863449,12.513929851131678,14.253137755560147,20.18221173779455,25.074962016294112,24.59882959580512,A
58,5.019268410516188,96.65785051577346,16.02245371996208,12.31032981956269,14.30228827862533,20.07924539879201,25.2885830553694,31.729642475546026,A
59,6.023248588273343,93.9814856802134,14.082787599132237,11.676128554640963,19.32846479952392,23.00722890277659,28.15804683090776,29.216647157655885,A
60,5.389604313620998,73.60958131292509,9.950956209202008,11.507590869695672,23.167979658485365,25.454547018787355,29.539246407955183,23.412882269816222,C
61,4.533943500620097,107.00093313640215,16.229954844729022,7.1227359452937735,27.002671443912053,25.087771592803886,30.7778640121705,29.230212635186035,A
62,7.2625878078822,86.86077908489688,15.38028782239869,6.678429676071323,12.604282789448213,15.192641643679691,20.0803746835157,26.71026209487428,A
63,5.344699021601906,87.67842149891823,16.297394364695755,13.25657523885085,18.76347845644691,23.68420246353184,28.468975965097894,31.978227754095283,A
64,4.995662793813504,127.93004051773794,12.184010229694284,13.0617650001201,22.481632137761654,26.03309809192117,32.80427482734408,30.736389741628706,A
65,6.75939109692857,81.9552404424464,15.373497757991705,13.063498816272972,14.931699067966179,21.000965256159432,25.605681610551397,30.56710955687026,A
66,7.329015480631815,12.812341720763541,11.590207161776455,16.56124131310859,22.04494678400339,28.074958731407985,29.26525197849355,23.958411106937703,C
67,7.486201938167358,18.60787895315606,13.824588009399113,13.106794066391597,26.83801009386311,28.967369440169804,30.45922853319016,24.33235173872192,C
68,6.448490643177047,128.5226801551891,15.781622189903192,7.473555187828566,15.356737552546264,17.557695160249885,24.46746596624762,30.725617858920273,A
69,4.422554936564089,95.31671267547664,14.583233968393394,11.855515320117435,21.922809523927114,24.856383229363033,29.953910483379172,29.856792045960635,A
70,4.991526882949846,85.86007303567665,10.96705990513831,15.068878640011555,26.372084713527656,29.964808902359472,34.63217707036454,27.702060820302588,C
71,4.567738055137677,112.11590671638136,15.292839856241148,10.018803502687353,25.520087013411413,26.030093677399176,31.97846936735357,30.609122097851536,A
72,7.2600572667621694,46.64316514156626,13.064412145945777,7.062603641354361,22.394715352950957,21.97571266287021,24.85237521495569,21.63405482247093,C
73,6.724097001606442,83.39079924227103,10.319540649508967,19.322100984274087,13.055697009568334,23.922698662561615,28.596545899795647,29.79145609894234,A
